Date and Time,Temp,RH,PM2.5,TVOC,CO2,AirPres,Ozone,NO2,House,Calibration
11/02/2019 23:00,17,70.72,8.68,182.28,834.1,1023.88,5.32,8.95,1,0
12/02/2019 00:00,17.1,69.36,7.15,332.78,941.73,1023.59,3.16,0.52,1,0
12/02/2019 01:00,16.5,70.82,6.21,305.28,998.87,1023.58,3.35,0.5,1,0
12/02/2019 02:00,16.4,70.58,6.06,334.88,1080.97,1023.34,3.38,0.54,1,0
12/02/2019 03:00,16.3,70.69,5.56,381.65,1124.95,1023.08,3.42,0.45,1,0
12/02/2019 04:00,16.3,70.6,4.98,394.73,1153.5,1022.58,3.47,0.45,1,0
12/02/2019 05:00,16.1,70.88,4.6,402.95,1172.37,1022.57,3.51,0.5,1,0
12/02/2019 06:00,16.1,70.99,4.98,406.23,1198.71,1022.35,3.53,0.54,1,0
12/02/2019 07:00,17.3,69.41,6.63,422.7,1248.92,1022.35,3.37,0.5,1,0
12/02/2019 08:00,17.1,69.71,12.23,591.65,1059.08,1022.47,3.26,0.49,1,0
12/02/2019 09:00,16.6,70.6,17.01,422.74,862.41,1023.15,3.37,0.5,1,0
12/02/2019 10:00,16.4,70.58,14.6,280.59,758.19,1023.25,3.54,0.52,1,0
12/02/2019 11:00,16.3,71.11,9.68,193.53,682.88,1023.63,3.72,0.52,1,0
12/02/2019 12:00,16.1,71.37,7.55,149.67,581.9,1023.81,3.84,0.51,1,0
12/02/2019 13:00,16.1,71.35,7.22,124.45,524.85,1023.68,3.93,0.52,1,0
12/02/2019 14:00,16,71.27,7.7,130.7,538.78,1023.55,3.95,0.52,1,0
12/02/2019 15:00,15.9,71.25,8.42,128.52,529.1,1023.51,3.98,0.44,1,0
12/02/2019 16:00,15.8,71.37,7.57,129.13,519.77,1023.57,3.99,0.47,1,0
12/02/2019 17:00,15.9,71.17,7.63,154.77,520.55,1023.59,3.96,0.5,1,0
12/02/2019 18:00,16,71.3,11.65,212.55,602.58,1023.65,3.83,0.52,1,0
12/02/2019 19:00,16,72.17,13.17,232.25,635.38,1023.43,3.81,0.48,1,0
12/02/2019 20:00,16.1,71.83,11.26,368.75,678.97,1023.07,3.63,0.48,1,0
12/02/2019 21:00,15.9,72.8,9.57,377.05,632.4,1023.02,3.59,0.48,1,0
