Date and Time,Temp,RH,PM2.5,TVOC,CO2,AirPres,Ozone,NO2,House,Calibration
11/02/2019 23:00,18.1,68.61,9.11,303.4,1022.37,1024.42,11.29,17.17,1,0
12/02/2019 00:00,18,68.19,9.69,502.07,928.57,1024.13,11.78,15.71,1,0
12/02/2019 01:00,17.6,66.91,11.65,484.31,809.63,1024.08,12.3,13.32,1,0
12/02/2019 02:00,17.3,66.88,8.93,436.43,744.85,1023.86,12.96,13.87,1,0
12/02/2019 03:00,17,66.4,8.24,374.4,697.13,1023.59,13.69,16.98,1,0
12/02/2019 04:00,16.8,66.15,7.33,329.27,656.25,1023.11,14.29,14.95,1,0
12/02/2019 05:00,16.6,66.17,7.18,305.63,605.15,1023.08,14.69,17.84,1,0
12/02/2019 06:00,16.5,66.01,7.86,266.07,568.83,1022.86,7.36,4.53,1,0
12/02/2019 07:00,17.5,65.74,9.28,542.18,667.53,1022.84,4.35,0.52,1,0
12/02/2019 08:00,17.9,68.86,55.76,1099.68,944.2,1023,3.58,0.45,1,0
12/02/2019 09:00,17.5,67.98,57.08,704.05,866.4,1023.59,4.2,0.47,1,0
12/02/2019 10:00,17.2,66.92,29.13,461,747.28,1023.75,4.67,0.5,1,0
12/02/2019 11:00,17.1,66.88,15.49,306.02,648.87,1024.14,5.06,0.52,1,0
12/02/2019 12:00,17,67.3,10.04,235.05,603.1,1024.3,5.32,0.75,1,0
12/02/2019 13:00,16.8,67.71,9.67,215.51,577.93,1024.15,5.37,0.48,1,0
12/02/2019 14:00,16.7,67.68,9.31,219.77,555.95,1024.01,5.42,0.51,1,0
12/02/2019 15:00,16.6,67.89,9.4,228.37,551.23,1023.96,5.64,1.48,1,0
12/02/2019 16:00,16.5,68.71,8.71,357.95,599.25,1024.02,5.57,1.68,1,0
12/02/2019 17:00,16.5,69.09,9.48,494.48,653.2,1024.06,5.15,0.46,1,0
12/02/2019 18:00,16.5,69.8,12.58,569.93,800.78,1024.13,4.81,0.5,1,0
12/02/2019 19:00,17.1,71.08,19.65,844.88,1068.42,1023.9,4.38,0.5,1,0
12/02/2019 20:00,19,68.48,14.93,705.9,1040.2,1023.58,4.05,0.49,1,0
12/02/2019 21:00,18.7,67.66,12.42,561.83,902.31,1023.52,4.45,0.51,1,0
12/02/2019 22:00,18.9,67.98,12.01,498.3,1015.58,1023.48,4.72,0.48,1,0
12/02/2019 23:00,18.6,67.62,10.74,232.67,957.53,1023.24,6.54,0.47,1,0
13/02/2019 00:00,18.2,67.87,9.79,53.15,817.35,1022.94,6.58,0.47,1,0
13/02/2019 01:00,17.8,68.72,11.73,60.12,772.66,1022.42,6.44,0.49,1,0
13/02/2019 02:00,17.3,67.78,9.18,32.4,723.56,1022.06,7.01,0.4,1,0
13/02/2019 03:00,17.1,67.48,11.8,18.88,667.42,1021.46,7.39,3.19,1,0
13/02/2019 04:00,16.8,67.49,10.3,11.78,688.7,1021.16,10.08,45.9,1,0
13/02/2019 05:00,16.6,67.47,11.63,8.93,690.72,1020.75,11.7,71.49,1,0
13/02/2019 06:00,16.5,67.34,9.85,3.52,666.18,1020.59,12.08,77.61,1,0
13/02/2019 07:00,17.5,66.71,9.69,21.88,741.22,1020.54,7.72,11.38,1,0
13/02/2019 08:00,17.9,67.52,12.93,35.15,867.97,1020.83,7.1,1.39,1,0
13/02/2019 09:00,17.6,66.43,15.34,13.77,748.53,1021.26,9.02,29.22,1,0
13/02/2019 10:00,17.2,66.43,18.54,0.15,631.18,1021.48,12.13,78.55,1,0
13/02/2019 11:00,17,66.45,15.63,0.02,550.35,1021.55,12.31,81.5,1,0
13/02/2019 12:00,16.8,66.53,15.49,0.9,498.02,1021.41,12.53,84.93,1,0
13/02/2019 13:00,16.7,66.76,16.97,3.13,477.73,1021.14,12.55,85.22,1,0
13/02/2019 14:00,16.7,67.18,19.39,11.63,505.63,1020.7,12.29,80.87,1,0
13/02/2019 15:00,16.5,67.44,14.79,13.68,504.48,1020.55,12.45,83.32,1,0
13/02/2019 16:00,16.5,67.75,13.79,23.8,528.28,1020.37,12.15,78.49,1,0
13/02/2019 17:00,16.5,68.04,15.36,61.98,582.32,1020.44,8.02,13.65,1,0
13/02/2019 18:00,16.7,69.56,16.6,128.32,800.7,1020.71,7.16,7.16,1,0
13/02/2019 19:00,19.2,78.39,19.95,309.2,1438.53,1020.92,5.27,0.5,1,0
13/02/2019 20:00,19.5,71.74,16.07,189.7,1125.33,1020.89,5.75,0.51,1,0
13/02/2019 21:00,18.8,67.65,15.32,122.9,908.7,1021.04,6.45,0.5,1,0
13/02/2019 22:00,18.4,68.11,70.41,136.48,1003.1,1021.12,6.34,0.47,1,0
13/02/2019 23:00,17.9,67.8,38.83,95.25,878.25,1021.29,6.8,0.51,1,0
14/02/2019 00:00,17.5,67.76,25.77,71.49,762.14,1021.48,7.2,0.96,1,0
14/02/2019 01:00,17.2,67.44,17.38,68.38,692.8,1021.63,7.41,3.94,1,0
14/02/2019 02:00,17,67.48,11.85,54.23,664.88,1021.33,8.4,19.25,1,0
14/02/2019 03:00,16.8,67.51,10.56,46.3,684.22,1021.18,11.7,71.43,1,0
14/02/2019 04:00,16.7,67.58,8.99,43.38,702.95,1021.15,11.94,75.31,1,0
14/02/2019 05:00,16.6,67.54,9.22,38.65,687.8,1021.38,12.13,78.24,1,0
14/02/2019 06:00,16.4,67.49,9.08,35.43,689.82,1021.55,12.15,78.64,1,0
14/02/2019 07:00,17.5,66.9,7.83,60.22,784.85,1021.85,7.27,2.17,1,0
14/02/2019 08:00,17.9,67.77,9.89,172.13,907.58,1022.22,5.83,0.47,1,0
14/02/2019 09:00,17.4,66.86,10.58,89.27,744.37,1022.32,7.06,0.94,1,0
14/02/2019 10:00,17,66.34,11.57,45.59,618.28,1022.36,10.54,53.47,1,0
14/02/2019 11:00,16.8,66.26,9.54,21.47,529.6,1022.32,12.28,80.99,1,0
14/02/2019 12:00,16.6,66.45,9.67,10.11,470.98,1021.99,12.51,84.61,1,0
