Date and Time,Temp,RH,PM2.5,TVOC,CO2,AirPres,Ozone,NO2,House,Calibration
11/02/2019 23:00,17.3,64.38,11.07,90.25,937.28,1024.1,5.09,8.04,1,0
12/02/2019 00:00,16.9,63.18,10.07,143.27,776.12,1023.8,3.18,0.58,1,0
12/02/2019 01:00,16.3,63.33,11.67,127.92,668.03,1023.75,3.41,0.52,1,0
12/02/2019 02:00,16,63.52,9.45,138.56,639.56,1023.48,3.48,0.45,1,0
12/02/2019 03:00,15.7,63.69,9.78,131.93,614.95,1023.2,3.61,0.54,1,0
12/02/2019 04:00,15.5,63.94,7.26,121.07,573.64,1022.74,3.71,0.48,1,0
12/02/2019 05:00,15.3,64.08,7.96,112.41,548.53,1022.72,3.82,0.53,1,0
12/02/2019 06:00,15.1,64.26,8.63,104.6,510.88,1022.52,3.92,0.45,1,0
12/02/2019 07:00,15.8,63.6,9.06,143.5,586.19,1022.53,3.69,0.55,1,0
12/02/2019 08:00,16.5,64.59,49.2,338.87,753.17,1022.71,3.01,0.53,1,0
12/02/2019 09:00,16.1,65.45,63.48,286.73,804.13,1023.28,3.2,0.45,1,0
12/02/2019 10:00,15.9,64.84,31.91,168.65,683.08,1023.41,3.5,0.51,1,0
12/02/2019 11:00,15.9,64.78,17.28,115.95,577.97,1023.79,3.69,0.52,1,0
12/02/2019 12:00,15.9,64.98,13.95,93.81,568.07,1023.94,3.8,0.46,1,0
12/02/2019 13:00,15.8,65.11,9.78,87.69,541.85,1023.83,3.86,0.51,1,0
12/02/2019 14:00,15.5,65.51,9.43,93.18,507.3,1023.68,3.88,0.49,1,0
12/02/2019 15:00,15.4,65.8,10.97,98.73,525.66,1023.64,3.92,0.53,1,0
12/02/2019 16:00,15.3,66.03,10.47,155.87,531.75,1023.71,3.94,0.49,1,0
12/02/2019 17:00,15.2,67.1,11.36,223.88,620.03,1023.74,3.77,0.46,1,0
12/02/2019 18:00,15.2,67.99,16.26,241.42,776.63,1023.8,3.66,0.5,1,0
12/02/2019 19:00,15.7,68.98,26.81,335.48,982.4,1023.58,3.3,0.46,1,0
12/02/2019 20:00,17.7,65.3,20.93,263.62,912.6,1023.23,3.1,0.49,1,0
12/02/2019 21:00,17.9,63.79,17.16,222.72,814.58,1023.18,3.22,0.51,1,0
12/02/2019 22:00,18.9,61.17,18.36,207.3,936.15,1023.16,3.19,0.45,1,0
12/02/2019 23:00,18.2,61.9,13.83,63.67,876.65,1022.9,3.37,0.46,1,0
13/02/2019 00:00,17.4,62.68,13.98,22.55,751,1022.6,3.56,0.55,1,0
13/02/2019 01:00,17.1,62.09,14.39,16.1,659.17,1022.06,3.66,0.5,1,0
13/02/2019 02:00,16.7,61.91,14.28,7.04,592.98,1021.72,3.82,0.47,1,0
13/02/2019 03:00,16.3,62.39,12.11,2.92,568.07,1021.14,3.94,0.46,1,0
13/02/2019 04:00,16,62.68,11.8,0.13,557.82,1020.83,4.03,0.48,1,0
13/02/2019 05:00,15.8,63.03,13.94,0.92,561.15,1020.42,4.09,0.42,1,0
13/02/2019 06:00,15.6,63.34,12.84,1.02,570.95,1020.27,4.15,0.53,1,0
13/02/2019 07:00,18.2,56.43,17.35,4.73,644.19,1020.2,3.8,0.49,1,0
13/02/2019 08:00,18.9,54.98,19.51,5.93,664.02,1020.48,3.74,0.48,1,0
13/02/2019 09:00,17.1,60.25,17.79,9.66,657.07,1020.89,3.89,0.52,1,0
13/02/2019 10:00,16.4,62.23,19.32,5.15,585.81,1021.13,4.03,0.53,1,0
13/02/2019 11:00,16.1,62.67,16.29,0.52,514.5,1021.22,4.11,0.51,1,0
13/02/2019 12:00,15.9,63.05,18.11,0,464.55,1021.07,4.15,0.52,1,0
13/02/2019 13:00,15.8,63.51,17.03,1.82,439.27,1020.79,4.17,0.53,1,0
13/02/2019 14:00,15.8,63.57,21.97,7.62,469.33,1020.38,4.11,0.5,1,0
13/02/2019 15:00,15.7,63.7,17.53,9.17,477.15,1020.22,4.15,0.55,1,0
13/02/2019 16:00,15.6,64.22,15.66,8.87,480.83,1020.05,4.14,0.55,1,0
13/02/2019 17:00,15.6,64.22,17.85,18.27,558.52,1020.1,4.07,0.54,1,0
13/02/2019 18:00,16.1,63.22,21.26,30.35,654.4,1020.37,3.87,0.54,1,0
13/02/2019 19:00,20.4,55.45,25.01,53.38,817.9,1020.55,3.19,0.52,1,0
13/02/2019 20:00,19.6,60.53,16.28,77.62,1000.03,1020.53,3.11,0.52,1,0
13/02/2019 21:00,18.3,61.29,21.65,40.6,836,1020.67,3.47,0.52,1,0
13/02/2019 22:00,17.6,62.37,70.31,44.77,889.9,1020.77,3.5,0.46,1,0
13/02/2019 23:00,17.1,62.96,46.71,33.95,825.97,1020.92,3.67,0.5,1,0
14/02/2019 00:00,16.7,62.95,28.35,23.98,690.46,1021.12,3.82,0.42,1,0
14/02/2019 01:00,16.3,63.38,20.4,21.47,620.12,1021.28,3.86,0.54,1,0
14/02/2019 02:00,16,63.53,14.66,18.2,588.31,1020.98,3.95,0.49,1,0
14/02/2019 03:00,15.8,63.75,11.55,17.08,593.78,1020.84,4,0.49,1,0
14/02/2019 04:00,15.7,63.91,10.15,18.15,601.97,1020.85,4.05,0.5,1,0
14/02/2019 05:00,15.5,64.02,10.7,17.37,613.43,1021.07,4.09,0.54,1,0
14/02/2019 06:00,15.4,64.24,9.9,16.9,637.83,1021.23,4.13,0.55,1,0
14/02/2019 07:00,17.9,57.56,8.25,25.58,730.12,1021.5,3.75,0.54,1,0
14/02/2019 08:00,18.6,56.7,11.21,56.52,785.8,1021.88,3.32,0.51,1,0
14/02/2019 09:00,16.9,61.39,12.18,59.09,751.3,1021.97,3.51,0.53,1,0
14/02/2019 10:00,16.1,63.29,11.73,38.92,643.38,1022.04,3.77,0.55,1,0
14/02/2019 11:00,15.8,63.81,9.84,25.5,548.02,1022,3.94,0.51,1,0
